Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.5440450472	  -0.5375079510	   0.5501162446
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.5983353600	  -0.6685606084	   0.1960642397
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.5390385143	  -0.5325014181	   0.5451097117
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.5999331423	  -0.6730541434	   0.1954366238
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.5340319814	  -0.5274948852	   0.5401031788
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6052311279	  -0.6859622416	   0.1938178794
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.5290254485	  -0.5224883522	   0.5350966459
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6138806082	  -0.7066823449	   0.1913417485
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.5240189156	  -0.5174818193	   0.5300901129
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6252074756	  -0.7331762869	   0.1882084622
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.5190123826	  -0.5124752864	   0.5250835800
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6383153957	  -0.7638254873	   0.1846865718
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.5140058497	  -0.5074687535	   0.5200770471
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6525056811	  -0.7968780093	   0.1809559259
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.5089993168	  -0.5024622206	   0.5150705142
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6669684672	  -0.8290112908	   0.1773549690
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.5039927839	  -0.4974556877	   0.5100639813
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6800214368	  -0.8608815250	   0.1740421090
Center of Mass (Angs):
	CMx	CMy	CMz
