  ao# atom#  elem  type  max-exp  min-exp
    0     0     C     S  3.0e+03  3.2e+00
    1     0     C     S  7.9e+00  5.4e-01
    2     0     C     S  1.7e-01  1.7e-01
    3     1     C     S  3.0e+03  3.2e+00
    4     1     C     S  7.9e+00  5.4e-01
    5     1     C     S  1.7e-01  1.7e-01
    6     2     C     S  3.0e+03  3.2e+00
    7     2     C     S  7.9e+00  5.4e-01
    8     2     C     S  1.7e-01  1.7e-01
    9     3     C     S  3.0e+03  3.2e+00
   10     3     C     S  7.9e+00  5.4e-01
   11     3     C     S  1.7e-01  1.7e-01
   12     4     C     S  3.0e+03  3.2e+00
   13     4     C     S  7.9e+00  5.4e-01
   14     4     C     S  1.7e-01  1.7e-01
   15     5     N     S  4.2e+03  4.4e+00
   16     5     N     S  1.2e+01  7.7e-01
   17     5     N     S  2.1e-01  2.1e-01
   18     6     H     S  1.9e+01  6.4e-01
   19     6     H     S  1.6e-01  1.6e-01
   20     7     H     S  1.9e+01  6.4e-01
   21     7     H     S  1.6e-01  1.6e-01
   22     8     H     S  1.9e+01  6.4e-01
   23     8     H     S  1.6e-01  1.6e-01
   24     9     H     S  1.9e+01  6.4e-01
   25     9     H     S  1.6e-01  1.6e-01
   26    10     H     S  1.9e+01  6.4e-01
   27    10     H     S  1.6e-01  1.6e-01
   28    11     C     S  3.0e+03  3.2e+00
   29    11     C     S  7.9e+00  5.4e-01
   30    11     C     S  1.7e-01  1.7e-01
   31    12     H     S  1.9e+01  6.4e-01
   32    12     H     S  1.6e-01  1.6e-01
   33     0     C    Px  7.9e+00  5.4e-01
   34     0     C    Py  7.9e+00  5.4e-01
   35     0     C    Pz  7.9e+00  5.4e-01
   36     0     C    Px  1.7e-01  1.7e-01
   37     0     C    Py  1.7e-01  1.7e-01
   38     0     C    Pz  1.7e-01  1.7e-01
   39     1     C    Px  7.9e+00  5.4e-01
   40     1     C    Py  7.9e+00  5.4e-01
   41     1     C    Pz  7.9e+00  5.4e-01
   42     1     C    Px  1.7e-01  1.7e-01
   43     1     C    Py  1.7e-01  1.7e-01
   44     1     C    Pz  1.7e-01  1.7e-01
   45     2     C    Px  7.9e+00  5.4e-01
   46     2     C    Py  7.9e+00  5.4e-01
   47     2     C    Pz  7.9e+00  5.4e-01
   48     2     C    Px  1.7e-01  1.7e-01
   49     2     C    Py  1.7e-01  1.7e-01
   50     2     C    Pz  1.7e-01  1.7e-01
   51     3     C    Px  7.9e+00  5.4e-01
   52     3     C    Py  7.9e+00  5.4e-01
   53     3     C    Pz  7.9e+00  5.4e-01
   54     3     C    Px  1.7e-01  1.7e-01
   55     3     C    Py  1.7e-01  1.7e-01
   56     3     C    Pz  1.7e-01  1.7e-01
   57     4     C    Px  7.9e+00  5.4e-01
   58     4     C    Py  7.9e+00  5.4e-01
   59     4     C    Pz  7.9e+00  5.4e-01
   60     4     C    Px  1.7e-01  1.7e-01
   61     4     C    Py  1.7e-01  1.7e-01
   62     4     C    Pz  1.7e-01  1.7e-01
   63     5     N    Px  1.2e+01  7.7e-01
   64     5     N    Py  1.2e+01  7.7e-01
   65     5     N    Pz  1.2e+01  7.7e-01
   66     5     N    Px  2.1e-01  2.1e-01
   67     5     N    Py  2.1e-01  2.1e-01
   68     5     N    Pz  2.1e-01  2.1e-01
   69    11     C    Px  7.9e+00  5.4e-01
   70    11     C    Py  7.9e+00  5.4e-01
   71    11     C    Pz  7.9e+00  5.4e-01
   72    11     C    Px  1.7e-01  1.7e-01
   73    11     C    Py  1.7e-01  1.7e-01
   74    11     C    Pz  1.7e-01  1.7e-01
